PeakID (cmd=annotatePeaks.pl HIOE_Ngn3_0.05/HIOE_Ngn3_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr6-678	chr6	131586360	131586544	+	3.66	0.750	intron (NM_138633, intron 2 of 2)	AluSz6|SINE|Alu	14908	NM_138633	9465	Hs.486483	NM_004842	ENSG00000118507	AKAP7	AKAP15|AKAP18	A-kinase anchoring protein 7	protein-coding
chr10-1126	chr10	8025064	8025248	+	3.66	0.656	intron (NM_031923, intron 4 of 6)	intron (NM_031923, intron 4 of 6)	69298	NR_104329	399717	Hs.158992	NM_207423	ENSG00000197308	GATA3-AS1	-	GATA3 antisense RNA 1	ncRNA
chr4-1036	chr4	22780227	22780411	+	3.66	0.636	intron (NM_001277225, intron 4 of 4)	LTR12C|LTR|ERV1	64607	NR_102357	57733	Hs.653107	NM_020973	ENSG00000249948	GBA3	CBG|CBGL1|GLUC|KLRP	glucosylceramidase beta 3 (gene/pseudogene)	protein-coding
chr9-1189	chr9	102477720	102477904	+	3.66	0.767	intron (NR_109802, intron 3 of 6)	AluSx|SINE|Alu	104359	NR_109802	101928438	Hs.637767	NR_109802	ENSG00000237461	LOC101928438	-	uncharacterized LOC101928438	ncRNA
chr12-864	chr12	120124659	120124843	+	3.66	0.700	3' UTR (NM_007174, exon 47 of 47)	3' UTR (NM_007174, exon 47 of 47)	18813	NM_006253	5564	Hs.741184	NM_006253	ENSG00000111725	PRKAB1	AMPK|HAMPKb	protein kinase AMP-activated non-catalytic subunit beta 1	protein-coding
chr12-693	chr12	51518338	51518522	+	3.66	0.667	intron (NM_001173452, intron 1 of 14)	intron (NM_001173452, intron 1 of 14)	-41051	NR_045072	81566	Hs.524425	NM_030809	ENSG00000110925	CSRNP2	C12orf2|C12orf22|FAM130A1|PPP1R72|TAIP-12	cysteine and serine rich nuclear protein 2	protein-coding
chr3-623	chr3	183068462	183068646	+	3.66	0.688	intron (NM_015078, intron 3 of 29)	AluY|SINE|Alu	77503	NM_015078	23101	Hs.208267	NM_015078	ENSG00000053524	MCF2L2	ARHGEF22	MCF.2 cell line derived transforming sequence-like 2	protein-coding
chr10-1083	chr10	29275974	29276158	+	3.66	0.719	Intergenic	Intergenic	140729	NM_001278522	283080		NM_001278522		C10orf126	bA492M23.1	chromosome 10 open reading frame 126	protein-coding
chr17-1381	chr17	36541968	36542152	+	3.66	0.600	intron (NM_014598, intron 7 of 9)	AluSx|SINE|Alu	34333	NM_014598	30837	Hs.514132	NM_014598	ENSG00000274211	SOCS7	NAP4|NCKAP4	suppressor of cytokine signaling 7	protein-coding
chr3-566	chr3	165431066	165431250	+	3.66	0.629	Intergenic	MER52A|LTR|ERV1	124053	NR_137635	590	Hs.420483	NM_000055	ENSG00000114200	BCHE	BCHED|CHE1|CHE2|E1	butyrylcholinesterase	protein-coding
chr6-554	chr6	81647224	81647408	+	3.66	0.806	Intergenic	L1PB1|LINE|L1	815082	NM_017633	55603	Hs.10784	NM_017633	ENSG00000112773	TENT5A	C6orf37|FAM46A|OI18|XTP11	terminal nucleotidyltransferase 5A	protein-coding
chr12-786	chr12	51429650	51429834	+	3.66	0.759	Intergenic	AluSx1|SINE|Alu	-7717	NM_001174125	4891	Hs.505545	NM_000617	ENSG00000110911	SLC11A2	AHMIO1|DCT1|DMT1|NRAMP2	solute carrier family 11 member 2	protein-coding
chr3-864	chr3	9321438	9321622	+	3.66	0.657	Intergenic	Intergenic	30090	NR_146969	101927440		NR_146969	ENSG00000235830	SRGAP3-AS4	-	SRGAP3 antisense RNA 4	ncRNA
chr9-1006	chr9	15452356	15452540	+	3.66	0.677	intron (NR_161442, intron 6 of 7)	AluSp|SINE|Alu	29574	NM_001369649	6619	Hs.546299	NM_003084	ENSG00000164975	SNAPC3	PTFbeta|SNAP50	small nuclear RNA activating complex polypeptide 3	protein-coding
chr21-673	chr21	20866153	20866337	+	3.66	0.742	Intergenic	LTR12C|LTR|ERV1	405824	NR_146910	105372746	Hs.580899	NR_146910	ENSG00000233480	LINC01683	C21orf40	long intergenic non-protein coding RNA 1683	ncRNA
chr20-878	chr20	29611265	29611449	+	3.66	0.658	promoter-TSS (NR_003579)	promoter-TSS (NR_003579)	-483	NR_003579	284802	Hs.653099	NM_207350		FRG1BP	C20orf80|FRG1B|bA348I14.2	FSHD region gene 1 family member B, pseudogene	pseudo
chr11-1208	chr11	36403594	36403778	+	3.66	0.677	intron (NM_024841, intron 2 of 9)	AluSc8|SINE|Alu	6151	NM_001160168	79899	Hs.19987	NM_024841	ENSG00000135362	PRR5L	PROTOR2	proline rich 5 like	protein-coding
chr6-753	chr6	62265977	62266161	+	3.66	0.697	intron (NR_146870, intron 14 of 15)	L1PA15|LINE|L1	-17966	NM_001190706	100463487		NM_001190706		MTRNR2L9	HN9	MT-RNR2 like 9	protein-coding
chr4-983	chr4	35527419	35527603	+	3.66	0.636	Intergenic	LTR1|LTR|ERV1	718050	NR_146893	116984	Hs.479451	NM_015230	ENSG00000047365	ARAP2	CENTD1|PARX	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	protein-coding
chr17-1122	chr17	8570699	8570883	+	3.66	0.719	Intergenic	AluSg|SINE|Alu	-36712	NM_001256095	4628	Hs.16355	NM_005964	ENSG00000133026	MYH10	NMMHC-IIB|NMMHCB	myosin heavy chain 10	protein-coding
chr4-991	chr4	189302127	189302311	+	3.66	0.714	Intergenic	AluSg7|SINE|Alu	-74513	NR_033869	401164	Hs.435756	NR_033869	ENSG00000249378	LINC01060	-	long intergenic non-protein coding RNA 1060	ncRNA
chr8-781	chr8	141755941	141756125	+	3.66	0.750	intron (NR_148037, intron 21 of 34)	AluSz|SINE|Alu	-13281	NR_029892	442893		NR_029892	ENSG00000254324	MIR151A	MIR151|MIRN151|hsa-mir-151|hsa-mir-151a	microRNA 151a	ncRNA
chrY-112	chrY	13253226	13253410	+	3.66	0.852	Intergenic	GSATII|Satellite|centr	1280071	NR_033667	352887	Hs.546221	NR_033667	ENSG00000206159	GYG2P1	GYG2P	glycogenin 2 pseudogene 1	pseudo
chr2-1324	chr2	58655774	58655958	+	3.66	0.742	Intergenic	Intergenic	-92022	NR_033873	400955	Hs.503210	NR_033873	ENSG00000233723	LINC01122	-	long intergenic non-protein coding RNA 1122	ncRNA
chr11-1173	chr11	78590160	78590344	+	3.66	0.639	intron (NM_001098816, intron 9 of 33)	SVA_F|Other|Other	-304343	NM_001243251	79731	Hs.503389	NM_024678	ENSG00000137513	NARS2	DFNB94|SLM5|asnRS	asparaginyl-tRNA synthetase 2, mitochondrial	protein-coding
chr8-881	chr8	22298788	22298972	+	3.66	0.697	5' UTR (NM_005605, exon 1 of 14)	5' UTR (NM_005605, exon 1 of 14)	397	NM_005605	5533	Hs.731683	NM_005605	ENSG00000120910	PPP3CC	CALNA3|CNA3|PP2Bgamma	protein phosphatase 3 catalytic subunit gamma	protein-coding
chr7-1035	chr7	28220428	28220612	+	3.66	0.632	promoter-TSS (NM_175061)	promoter-TSS (NM_175061)	-106	NM_175061	221895	Hs.368944	NM_175061	ENSG00000153814	JAZF1	TIP27|ZNF802	JAZF zinc finger 1	protein-coding
chr5-550	chr5	3685048	3685232	+	3.66	0.710	Intergenic	Intergenic	89194	NM_024337	79192	Hs.424156	NM_024337	ENSG00000170549	IRX1	IRX-5|IRXA1	iroquois homeobox 1	protein-coding
chr8-591	chr8	94674506	94674690	+	3.66	0.733	intron (NR_033858, intron 4 of 10)	AluY|SINE|Alu	38063	NR_033858	642924	Hs.434882	NR_033858	ENSG00000246662	LINC00535	-	long intergenic non-protein coding RNA 535	ncRNA
chr18-294	chr18	70536168	70536352	+	3.66	0.575	promoter-TSS (NR_134647)	intron (NR_134648, intron 1 of 1)	-15	NR_134647	100505797	Hs.145111	NR_134647	ENSG00000263958	LOC100505797	-	myosin heavy chain IB-like	ncRNA
chr9-726	chr9	35184076	35184260	+	3.66	0.657	intron (NM_006377, intron 1 of 38)	SVA_A|Other|Other	22162	NM_001371186								
chr16-992	chr16	15021876	15022060	+	3.66	0.686	promoter-TSS (NR_103772)	promoter-TSS (NR_103772)	-828	NR_103772	100288162	Hs.744813	NR_103772		LOC100288162	-	uncharacterized LOC100288162	ncRNA
chr20-523	chr20	3033011	3033195	+	3.66	0.595	Intergenic	AluSz|SINE|Alu	6405	NM_030811	64949	Hs.18946	NM_030811	ENSG00000125901	MRPS26	C20orf193|GI008|MRP-S13|MRP-S26|MRPS13|NY-BR-87|RPMS13|dJ534B8.3	mitochondrial ribosomal protein S26	protein-coding
chr10-998	chr10	133535950	133536134	+	3.66	0.857	Intergenic	Intergenic	86493	NR_038365	399827	Hs.523353	NM_001001677	ENSG00000189275	LINC01164	-	long intergenic non-protein coding RNA 1164	ncRNA
chr2-1532	chr2	55604703	55604887	+	3.49	0.618	intron (NM_001254943, intron 3 of 33)	AluSg|SINE|Alu	42197	NM_001365480	55704	Hs.292925	NM_018084	ENSG00000115355	CCDC88A	APE|GIRDIN|GIV|GRDN|HkRP1|KIAA1212|PEHO|PEHOL	coiled-coil domain containing 88A	protein-coding
chr8-737	chr8	54688738	54688922	+	3.49	0.641	intron (NM_213620, intron 9 of 13)	LTR12C|LTR|ERV1	66772	NM_213620	51606	Hs.491737	NM_015941	ENSG00000047249	ATP6V1H	CGI-11|MSTP042|NBP1|SFD|SFDalpha|SFDbeta|VMA13	ATPase H+ transporting V1 subunit H	protein-coding
chr9-1168	chr9	111709425	111709609	+	3.49	0.700	intron (NM_003798, intron 15 of 18)	AluY|SINE|Alu	12837	NM_017832	54942	Hs.29276	NM_017832	ENSG00000119328	ABITRAM	C9orf6|CG-8|FAM206A|Simiate	actin binding transcription modulator	protein-coding
chr9-812	chr9	79809138	79809322	+	3.49	0.656	intron (NM_001018038, intron 1 of 68)	L1PA15|LINE|L1	-16397	NR_026668	100286938	Hs.662256	NR_026668	ENSG00000232998	VPS13A-AS1	-	VPS13A antisense RNA 1	ncRNA
chr14-682	chr14	28314845	28315029	+	3.49	0.700	Intergenic	LTR12C|LTR|ERV1	-172510	NR_148992	728755	Hs.652058	NR_148991	ENSG00000258932	LOC728755	-	uncharacterized LOC728755	ncRNA
chr6-549	chr6	47003818	47004002	+	3.49	0.656	intron (NM_025048, intron 1 of 7)	AluSz|SINE|Alu	6158	NM_025048	266977	Hs.733762	NM_025048	ENSG00000153292	ADGRF1	GPR110|KPG_012|PGR19|hGPCR36	adhesion G protein-coupled receptor F1	protein-coding
chr10-971	chr10	805537	805721	+	3.49	0.634	Intergenic	L1M2|LINE|L1	-70021	NM_014974	22982	Hs.432397	NM_014974	ENSG00000151240	DIP2C	KIAA0934	disco interacting protein 2 homolog C	protein-coding
chr11-659	chr11	39300281	39300465	+	3.49	0.611	Intergenic	Intergenic	629965	NR_120553	101928536	Hs.144776	NR_120553	ENSG00000254562	LINC01493	-	long intergenic non-protein coding RNA 1493	ncRNA
chr4-926	chr4	147912527	147912711	+	3.49	0.688	Intergenic	L1PA13|LINE|L1	-45581	NM_031956	83894	Hs.378893	NM_031956	ENSG00000137473	TTC29	NYD-SP14|TBPP2A	tetratricopeptide repeat domain 29	protein-coding
chr4-989	chr4	161471145	161471329	+	3.49	0.583	Intergenic	LTR12C|LTR|ERV1	-772301	NR_146278	109729132		NR_146278	ENSG00000250488	LINC02233	-	long intergenic non-protein coding RNA 2233	ncRNA
chr15-559	chr15	64955024	64955208	+	3.49	0.724	intron (NM_015042, intron 2 of 8)	AluSx|SINE|Alu	40364	NM_002537	4947	Hs.744924	NM_002537	ENSG00000180304	OAZ2	AZ2	ornithine decarboxylase antizyme 2	protein-coding
chr10-1223	chr10	116620143	116620327	+	3.49	0.667	intron (NM_001135051, intron 14 of 16)	AluSp|SINE|Alu	38696	NM_001135051	57700	Hs.192619	NM_020940	ENSG00000151553	FAM160B1	KIAA1600|bA106M7.3	family with sequence similarity 160 member B1	protein-coding
chr4-1023	chr4	84864887	84865071	+	3.49	0.613	Intergenic	SVA_D|Other|Other	355343	NR_125909	101928978	Hs.647977	NR_125909	ENSG00000250546	LOC101928978	-	uncharacterized LOC101928978	ncRNA
chr10-906	chr10	50692007	50692191	+	3.49	0.719	intron (NM_001346440, intron 8 of 20)	AluJb|SINE|Alu	40228	NM_170753	267004	Hs.49063	NM_170753	ENSG00000225830	PGBD3	-	piggyBac transposable element derived 3	protein-coding
chr7-1117	chr7	63334671	63334855	+	3.49	0.676	Intergenic	SVA_D|Other|Other	-124421	NR_145488	100419780	Hs.742917	NR_145488		ZNF722P	ZNF722	zinc finger protein 722, pseudogene	pseudo
chr3-480	chr3	38387830	38388014	+	3.49	0.667	promoter-TSS (NM_005108)	promoter-TSS (NM_005108)	-329	NM_001349179	9942	Hs.659985	NM_005108	ENSG00000093217	XYLB	-	xylulokinase	protein-coding
chr4-565	chr4	160445508	160445692	+	3.49	0.684	Intergenic	SVA_D|Other|Other	253336	NR_146278	109729132		NR_146278	ENSG00000250488	LINC02233	-	long intergenic non-protein coding RNA 2233	ncRNA
chr10-993	chr10	101419354	101419538	+	3.49	0.742	promoter-TSS (NM_001349963)	promoter-TSS (NM_001349963)	60	NM_001349963	57089	Hs.28326	NM_020354	ENSG00000198018	ENTPD7	LALP1	ectonucleoside triphosphate diphosphohydrolase 7	protein-coding
chr18-267	chr18	8857142	8857326	+	3.49	0.647	Intergenic	L1MEc|LINE|L1	139855	NM_015210	23255	Hs.707920	NM_015210	ENSG00000168502	MTCL1	CCDC165|KIAA0802|SOGA2	microtubule crosslinking factor 1	protein-coding
chr8-641	chr8	68847362	68847546	+	3.49	0.750	Intergenic	AluSp|SINE|Alu	-16827	NM_025170	80243	Hs.169943	NM_024870	ENSG00000046889	PREX2	DEP.2|DEPDC2|P-REX2|PPP1R129	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	protein-coding
chr9-992	chr9	95161128	95161312	+	3.49	0.833	intron (NM_024416, intron 3 of 6)	AluSz|SINE|Alu	5640	NM_014057	4969	Hs.109439	NM_014057	ENSG00000106809	OGN	OG|OIF|SLRR3A	osteoglycin	protein-coding
chr5-792	chr5	62575694	62575878	+	3.49	0.793	Intergenic	AluSz|SINE|Alu	682333	NM_000524	3350	Hs.247940	NM_000524	ENSG00000178394	HTR1A	5-HT-1A|5-HT1A|5HT1a|ADRB2RL1|ADRBRL1|G-21|PFMCD	5-hydroxytryptamine receptor 1A	protein-coding
chr13-337	chr13	66583478	66583662	+	3.49	0.595	Intergenic	LTR12C|LTR|ERV1	-43009	NR_039692	100616302		NR_039692	ENSG00000263581	MIR548X2	-	microRNA 548x-2	ncRNA
chr1-2123	chr1	241373428	241373612	+	3.49	0.719	intron (NM_001364886, intron 2 of 18)	AluSg|SINE|Alu	77948	NR_036069	100422856		NR_036069	ENSG00000265831	MIR3123	mir-3123	microRNA 3123	ncRNA
chr3-777	chr3	107874390	107874574	+	3.49	0.655	Intergenic	AluSq2|SINE|Alu	29814	NR_110028	101929623	Hs.570653	NR_110028	ENSG00000271856	LINC01215	-	long intergenic non-protein coding RNA 1215	ncRNA
chr3-768	chr3	162420710	162420894	+	3.49	0.605	Intergenic	LTR12C|LTR|ERV1	600287	NR_033945	647107	Hs.408584	NR_033945	ENSG00000241369	LINC01192	CT64	long intergenic non-protein coding RNA 1192	ncRNA
chr1-2313	chr1	157910861	157911045	+	3.49	0.700	intron (NR_135760, intron 2 of 3)	intron (NR_135760, intron 2 of 3)	15196	NR_135760	105371458	Hs.591494	NR_135760	ENSG00000236957	LOC105371458	-	uncharacterized LOC105371458	ncRNA
chr16-1436	chr16	79883081	79883265	+	3.49	0.633	Intergenic	Intergenic	54027	NR_104661	101928248	Hs.659802	NR_104660	ENSG00000260876	LINC01229	-	long intergenic non-protein coding RNA 1229	ncRNA
chr12-681	chr12	115527263	115527447	+	3.49	0.667	Intergenic	Intergenic	-405375	NM_005996	6926	Hs.744016	NM_005996	ENSG00000135111	TBX3	TBX3-ISO|UMS|XHL	T-box transcription factor 3	protein-coding
chr10-942	chr10	34641821	34642005	+	3.49	0.611	intron (NM_001184791, intron 12 of 20)	SVA_B|Other|Other	462311	NM_001184789	56288	Hs.131489	NM_019619	ENSG00000148498	PARD3	ASIP|Baz|PAR3|PAR3alpha|PARD-3|PARD3A|PPP1R118|SE2-5L16|SE2-5LT1|SE2-5T2	par-3 family cell polarity regulator	protein-coding
chr10-1153	chr10	31716403	31716587	+	3.49	0.781	intron (NM_001323650, intron 4 of 11)	intron (NM_001323650, intron 4 of 11)	-27811	NM_001368169	100505502	Hs.730227	NM_001368169		LOC100505502	-	putative UPF0607 protein FLJ37424	protein-coding
chr2-1576	chr2	34719381	34719565	+	3.49	0.703	Intergenic	LTR12C|LTR|ERV1	-183151	NR_126404	104355288	Hs.624529	NR_126404	ENSG00000228262	LINC01320	-	long intergenic non-protein coding RNA 1320	ncRNA
chr7-1165	chr7	21582688	21582872	+	3.49	0.714	5' UTR (NM_001277115, exon 1 of 82)	5' UTR (NM_001277115, exon 1 of 82)	123	NM_001277115	8701	Hs.520245	NM_001277115	ENSG00000105877	DNAH11	CILD7|DNAHBL|DNAHC11|DNHBL|DPL11	dynein axonemal heavy chain 11	protein-coding
chr5-706	chr5	116016476	116016660	+	3.49	0.688	Intergenic	L2c|LINE|L2	81337	NR_104678	102467223	Hs.570916	NR_104678		LINC02214	-	long intergenic non-protein coding RNA 2214	ncRNA
chr1-2119	chr1	89946304	89946488	+	3.49	0.676	Intergenic	THE1B-int|LTR|ERVL-MaLR	-43992	NM_001134476	23507	Hs.482017	NM_015350	ENSG00000197147	LRRC8B	TA-LRRP|TALRRP	leucine rich repeat containing 8 VRAC subunit B	protein-coding
chr9-1329	chr9	127487556	127487740	+	3.49	0.742	intron (NM_033334, intron 2 of 9)	intron (NM_033334, intron 2 of 9)	31659	NR_029782	406956		NR_029782	ENSG00000207737	MIR181B2	MIRN181B2|mir-181b-2	microRNA 181b-2	ncRNA
chr18-344	chr18	832230	832414	+	3.49	0.636	Intergenic	Intergenic	-20079	NM_005433	7525	Hs.194148	NM_005433	ENSG00000176105	YES1	HsT441|P61-YES|Yes|c-yes	YES proto-oncogene 1, Src family tyrosine kinase	protein-coding
chr11-1251	chr11	38320618	38320802	+	3.49	0.750	Intergenic	AluY|SINE|Alu	347196	NR_120554	103312105	Hs.641711	NR_120554	ENSG00000255175	LINC02759	-	long intergenic non-protein coding RNA 2759	ncRNA
chr8-984	chr8	12757238	12757422	+	3.49	0.750	Intergenic	AluSp|SINE|Alu	-45852	NM_020844	57604	Hs.202521	NM_020844	ENSG00000250305	TRMT9B	C8orf79|KIAA1456|TRM9L|hTRM9L	tRNA methyltransferase 9B (putative)	protein-coding
chr8-759	chr8	14890017	14890201	+	3.49	0.727	intron (NM_139167, intron 1 of 7)	L1MA8|LINE|L1	-179090	NR_029875	494332		NR_029875	ENSG00000199127	MIR383	MIRN383|hsa-mir-383|mir-383	microRNA 383	ncRNA
chr5-542	chr5	117618426	117618610	+	3.49	0.650	intron (NR_104609, intron 1 of 1)	SVA_C|Other|Other	249	NR_104609	100505811	Hs.369776	NR_104609	ENSG00000250427	LINC02148	HNCAT21	long intergenic non-protein coding RNA 2148	ncRNA
chr13-290	chr13	68745094	68745278	+	3.49	0.649	Intergenic	LTR12C|LTR|ERV1	714271	NR_038878	338862		NR_038878	ENSG00000281778	LINC00550	-	long intergenic non-protein coding RNA 550	ncRNA
chr12-876	chr12	3653855	3654039	+	3.49	0.676	intron (NM_019854, intron 2 of 9)	LTR46|LTR|ERV1	-51962	NR_126055	100129223	Hs.586788	NR_126055		THCAT155	-	thyroid cancer-associated transcript 155	ncRNA
chr20-507	chr20	33064028	33064212	+	3.49	0.844	intron (NM_031483, intron 16 of 24)	intron (NM_031483, intron 16 of 24)	9990	NR_030374	693229		NR_030374	ENSG00000207997	MIR644A	MIR644|MIRN644|hsa-mir-644|hsa-mir-644a	microRNA 644a	ncRNA
chr10-1195	chr10	110034270	110034454	+	3.49	0.690	Intergenic	L1M1|LINE|L1	-205311	NR_125760	103695365	Hs.648991	NR_125760	ENSG00000229981	LINC01435	TCONS_00018040	long intergenic non-protein coding RNA 1435	ncRNA
chr7-1245	chr7	147639900	147640084	+	3.49	0.750	intron (NM_014141, intron 13 of 22)	AluY|SINE|Alu	271221	NR_133929	105375556	Hs.667432	NR_133929	ENSG00000230190	LOC105375556	-	uncharacterized LOC105375556	ncRNA
chr10-1190	chr10	23498751	23498935	+	3.49	0.714	intron (NM_001365862, intron 15 of 15)	AluJb|SINE|Alu	17602	NM_178161	256297	Hs.351503	NM_178161	ENSG00000168267	PTF1A	PACA|PAGEN2|PTF1-p48|bHLHa29|p48	pancreas associated transcription factor 1a	protein-coding
chr1-1996	chr1	207308480	207308664	+	3.49	0.700	intron (NM_000715, intron 9 of 11)	AluSx3|SINE|Alu	30994	NM_000715	722	Hs.1012	NM_000715	ENSG00000123838	C4BPA	C4BP|PRP	complement component 4 binding protein alpha	protein-coding
chr2-1284	chr2	167955790	167955974	+	3.49	0.636	intron (NM_152381, intron 2 of 10)	L1PA7|LINE|L1	41583	NR_046665	100874011		NR_046665		XIRP2-AS1	-	XIRP2 antisense RNA 1	ncRNA
chr18-341	chr18	27755025	27755209	+	3.49	0.622	Intergenic	LTR12C|LTR|ERV1	-123759	NR_031684	100302131		NR_031684	ENSG00000283218	MIR302F	MIRN302F|hsa-mir-302f	microRNA 302f	ncRNA
chr1-2239	chr1	235327497	235327681	+	3.49	0.657	Intergenic	AluSx1|SINE|Alu	-3024	NR_144490	23029	Hs.535224	NM_015014	ENSG00000188739	RBM34	-	RNA binding motif protein 34	protein-coding
chr4-775	chr4	20180840	20181024	+	3.49	0.535	Intergenic	LTR12C|LTR|ERV1	-72596	NM_004787	9353	Hs.29802	NM_004787	ENSG00000145147	SLIT2	SLIL3|Slit-2	slit guidance ligand 2	protein-coding
chr1-2100	chr1	164382042	164382226	+	3.49	0.568	Intergenic	MLT1A0-int|LTR|ERVL-MaLR	-146463	NM_001353131	5087	Hs.557097	NM_002585	ENSG00000185630	PBX1	CAKUHED	PBX homeobox 1	protein-coding
chr6-644	chr6	1788161	1788345	+	3.49	0.742	intron (NM_001253846, intron 7 of 10)	MIR|SINE|MIR	178103	NM_001453	2296	Hs.348883	NM_001453	ENSG00000054598	FOXC1	ARA|ASGD3|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3	forkhead box C1	protein-coding
chr7-1212	chr7	37365978	37366162	+	3.49	0.667	intron (NM_001206482, intron 2 of 21)	AluSx|SINE|Alu	27202	NM_001206482	9844	Hs.434989	NM_014800	ENSG00000155849	ELMO1	CED-12|CED12|ELMO-1	engulfment and cell motility 1	protein-coding
chr6-660	chr6	102458391	102458575	+	3.32	0.727	intron (NM_001166247, intron 13 of 16)	AluSc8|SINE|Alu	611622	NM_175768	2898	Hs.98262	NM_021956	ENSG00000164418	GRIK2	EAA4|GLR6|GLUK6|GLUR6|GluK2|MRT6	glutamate ionotropic receptor kainate type subunit 2	protein-coding
chr5-888	chr5	145080185	145080369	+	3.32	0.833	Intergenic	Intergenic	134628	NM_182960	153768	Hs.314261	NM_138492	ENSG00000186314	PRELID2	-	PRELI domain containing 2	protein-coding
chr12-710	chr12	33592745	33592929	+	3.32	0.714	promoter-TSS (NM_198992)	promoter-TSS (NM_198992)	-83	NM_198992	341359	Hs.118703	NM_198992	ENSG00000110975	SYT10	-	synaptotagmin 10	protein-coding
chr7-1307	chr7	130276392	130276576	+	3.32	0.618	intron (NM_012133, intron 9 of 12)	SVA_D|Other|Other	77104	NM_012133	26958	Hs.6421	NM_012133	ENSG00000158623	COPG2	2-COP|gamma-2-COP	coatomer protein complex subunit gamma 2	protein-coding
chr4-872	chr4	134149473	134149657	+	3.32	0.710	Intergenic	AluY|SINE|Alu	79116	NM_020815	57575	Hs.192859	NM_020815	ENSG00000138650	PCDH10	OL-PCDH|PCDH19	protocadherin 10	protein-coding
chr6-752	chr6	129958178	129958362	+	3.32	0.667	intron (NM_033515, intron 3 of 14)	AluJb|SINE|Alu	73052	NM_033515	93663	Hs.486458	NM_033515	ENSG00000146376	ARHGAP18	MacGAP|SENEX|bA307O14.2	Rho GTPase activating protein 18	protein-coding
chr2-1514	chr2	101545506	101545690	+	3.32	0.636	intron (NM_002518, intron 3 of 20)	AluSz6|SINE|Alu	48025	NR_110213	101927142	Hs.656556	NR_110213		LOC101927142	-	uncharacterized LOC101927142	ncRNA
chr12-713	chr12	33033047	33033231	+	3.32	0.677	intron (NM_001005242, intron 1 of 12)	AluSx1|SINE|Alu	16641	NM_001005242	5318	Hs.164384	NM_004572	ENSG00000057294	PKP2	ARVD9	plakophilin 2	protein-coding
chr4-865	chr4	89994100	89994284	+	3.32	0.688	Intergenic	Intergenic	-15856	NM_014883	10144	Hs.97270	NM_014883	ENSG00000138640	FAM13A	ARHGAP48|FAM13A1	family with sequence similarity 13 member A	protein-coding
chr7-1027	chr7	122526516	122526700	+	3.32	0.697	promoter-TSS (NM_017954)	promoter-TSS (NM_017954)	-94	NM_001363397	93664	Hs.649459	NM_017954	ENSG00000081803	CADPS2	CAPS2	calcium dependent secretion activator 2	protein-coding
chr7-761	chr7	48416389	48416573	+	3.32	0.676	intron (NM_152701, intron 35 of 61)	intron (NM_152701, intron 35 of 61)	205426	NM_152701	154664	Hs.226568	NM_152701	ENSG00000179869	ABCA13	-	ATP binding cassette subfamily A member 13	protein-coding
chr12-702	chr12	95723376	95723560	+	3.32	0.553	Intergenic	AluSp|SINE|Alu	19769	NR_037456	100500802		NR_037456	ENSG00000265917	MIR3685	-	microRNA 3685	ncRNA
chr4-905	chr4	58658256	58658440	+	3.32	0.667	Intergenic	AluY|SINE|Alu	366310	NR_125907	101928851	Hs.555072	NR_125907	ENSG00000248505	LINC02380	-	long intergenic non-protein coding RNA 2380	ncRNA
chr3-857	chr3	133502656	133502840	+	3.32	0.636	promoter-TSS (NM_021203)	promoter-TSS (NM_021203)	-119	NM_021203	58477	Hs.12152	NM_021203	ENSG00000144867	SRPRB	APMCF1|SR-beta	SRP receptor subunit beta	protein-coding
chr1-2106	chr1	225426415	225426599	+	3.32	0.667	intron (NM_001367479, intron 42 of 85)	L1PA11|LINE|L1	189233	NM_002296	3930	Hs.435166	NM_002296	ENSG00000143815	LBR	C14SR|DHCR14B|LMN2R|PHA|PHASK|TDRD18	lamin B receptor	protein-coding
chr5-803	chr5	27280278	27280462	+	3.32	0.647	Intergenic	AluY|SINE|Alu	-192029	NR_038848	643401	Hs.533212	NR_038848	ENSG00000250337	PURPL	LINC01021	p53 upregulated regulator of p53 levels	ncRNA
